"CustomerID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_Score","Segment"
12346,40156,1,77183.6,1,1,5,"115","Others"
12347,8076,6,4085.18,3,5,5,"355","Loyal Customers"
12348,13415,4,1797.24,2,4,4,"244","At Risk"
12349,3978,1,1757.55,4,1,4,"414","Recent but Infrequent"
12350,38550,1,334.4,1,1,2,"112","Others"
12352,7312,8,2506.04,3,5,5,"355","Loyal Customers"
12353,27687,1,89,1,1,1,"111","Lost Customers"
12354,30676,1,1079.4,1,1,4,"114","Others"
12355,29138,1,459.4,1,1,2,"112","Others"
12356,4692,3,2811.43,4,3,5,"435","Loyal Customers"
12357,6847,1,6207.67,4,1,5,"415","Recent but Infrequent"
12358,355,2,1168.06,5,2,4,"524","Recent but Infrequent"
12359,10553,4,6372.58,3,4,5,"345","Loyal Customers"
12360,9882,3,2662.06,3,3,5,"335","Loyal Customers"
12361,36570,1,189.9,1,1,1,"111","Lost Customers"
12362,608,10,5226.23,5,5,5,"555","Best Customers"
12363,17640,2,552,2,2,3,"223","Others"
12364,1435,4,1313.1,5,4,4,"544","Best Customers"
12365,37009,2,641.38,1,2,3,"123","Others"
12367,871,1,168.9,5,1,1,"511","Recent but Infrequent"
12370,9682,4,3545.69,3,4,5,"345","Loyal Customers"
12371,8817,2,1887.96,3,2,4,"324","Others"
12372,12715,3,1298.04,3,3,4,"334","Loyal Customers"
12373,38700,1,364.6,1,1,2,"112","Others"
12374,5242,1,742.93,4,1,3,"413","Recent but Infrequent"
12375,2306,2,457.5,5,2,2,"522","Recent but Infrequent"
12377,39001,2,1628.12,1,2,4,"124","Others"
12378,19541,1,4008.62,2,1,5,"215","Others"
12379,14391,2,852.24,2,2,3,"223","Others"
12380,4407,4,2724.81,4,4,5,"445","Best Customers"
12381,949,5,1845.31,5,4,4,"544","Best Customers"
12383,25659,5,1850.56,1,4,4,"144","At Risk"
12384,5853,2,585.27,4,2,3,"423","Recent but Infrequent"
12386,41307,2,401.9,1,2,2,"122","Others"
12388,3128,6,2780.66,4,5,5,"455","Best Customers"
12390,14057,1,549.84,2,1,3,"213","Others"
12391,4359,1,460.89,4,1,2,"412","Recent but Infrequent"
12393,12879,4,1582.6,2,4,4,"244","At Risk"
12394,11590,2,1272.48,3,2,4,"324","Others"
12395,4036,12,3018.63,4,5,5,"455","Best Customers"
12397,7251,2,2409.9,3,2,5,"325","Others"
12398,9020,1,1635.66,3,1,4,"314","Others"
12399,18415,4,1108.65,2,4,4,"244","At Risk"
12401,38050,1,84.3,1,1,1,"111","Lost Customers"
12402,39912,1,225.6,1,1,1,"111","Lost Customers"
12403,9403,1,427.7,3,1,2,"312","Others"
12405,21659,1,1710.39,2,1,4,"214","Others"
12406,4461,2,3415.3,4,2,5,"425","Recent but Infrequent"
12407,9454,5,1708.12,3,4,4,"344","Loyal Customers"
12408,6725,5,2888.55,4,4,5,"445","Best Customers"
12409,13866,3,11072.67,2,3,5,"235","Others"
12410,38406,2,693.33,1,2,3,"123","Others"
12412,13364,3,1226.88,2,3,4,"234","Others"
12413,12185,3,758.1,3,3,3,"333","Loyal Customers"
12414,29385,3,562.41,1,3,3,"133","Others"
12415,5001,21,124914.53,4,5,5,"455","Best Customers"
12417,622,9,3649.1,5,5,5,"555","Best Customers"
12418,17831,1,668.58,2,1,3,"213","Others"
12420,11587,1,600.39,3,1,3,"313","Others"
12421,3248,4,807.04,4,4,3,"443","Loyal Customers"
12422,16121,3,803.56,2,3,3,"233","Others"
12423,94,8,1859.31,5,5,4,"554","Best Customers"
12424,23050,2,1760.96,2,2,4,"224","Others"
12425,13658,1,777.2,2,1,3,"213","Others"
12426,26602,1,582.73,1,1,3,"113","Others"
12427,4452,3,825.8,4,3,3,"433","Loyal Customers"
12428,5505,9,7956.46,4,5,5,"455","Best Customers"
12429,1706,4,3750.4,5,4,5,"545","Best Customers"
12430,8479,1,256.4,3,1,2,"312","Others"
12431,7118,15,6487.45,3,5,5,"355","Loyal Customers"
12432,8387,5,5059.32,3,4,5,"345","Loyal Customers"
12433,96,7,13375.87,5,5,5,"555","Best Customers"
12434,14502,2,806.14,2,2,3,"223","Others"
12435,14061,2,7829.89,2,2,5,"225","Others"
12436,16463,1,509.01,2,1,3,"213","Others"
12437,308,18,4951.41,5,5,5,"555","Best Customers"
12438,2776,2,2906.85,5,2,5,"525","Recent but Infrequent"
12441,43894,1,173.55,1,1,1,"111","Lost Customers"
12442,632,1,172.06,5,1,1,"511","Recent but Infrequent"
12444,4273,5,5005.46,4,4,5,"445","Best Customers"
12445,4462,1,133.4,4,1,1,"411","Recent but Infrequent"
12446,10552,1,1002.31,3,1,4,"314","Others"
12447,32028,1,476.49,1,1,2,"112","Others"
12448,8701,1,449.45,3,1,2,"312","Others"
12449,4541,4,4067.29,4,4,5,"445","Best Customers"
12450,22439,2,197.88,2,2,1,"221","Others"
12451,2328,5,9035.52,5,4,5,"545","Best Customers"
12452,3464,2,430.57,4,2,2,"422","Recent but Infrequent"
12453,19960,1,707.09,2,1,3,"213","Others"
12454,10332,1,3528.34,3,1,5,"315","Others"
12455,13033,6,2466.86,2,5,5,"255","At Risk"
12456,8691,3,3181.04,3,3,5,"335","Loyal Customers"
12457,12098,7,2363.23,3,5,5,"355","Loyal Customers"
12458,12637,2,947.4,3,2,4,"324","Others"
12461,15802,2,826.88,2,2,3,"223","Others"
12462,3981,2,1189.59,4,2,4,"424","Recent but Infrequent"
12463,10142,4,1344.78,3,4,4,"344","Loyal Customers"
12464,2146,8,1212.05,5,5,4,"554","Best Customers"
12465,3503,2,742.19,4,2,3,"423","Recent but Infrequent"
12468,26064,2,729.54,1,2,3,"123","Others"
12471,2168,29,17585.54,5,5,5,"555","Best Customers"
12472,6702,7,6572.11,4,5,5,"455","Best Customers"
12473,5951,5,3938.55,4,4,5,"445","Best Customers"
12474,3544,18,7375.79,4,5,5,"455","Best Customers"
12475,10279,1,723.38,3,1,3,"313","Others"
12476,3115,11,6816.42,4,5,5,"455","Best Customers"
12477,4677,6,13219.74,4,5,5,"455","Best Customers"
12478,835,1,680.99,5,1,3,"513","Recent but Infrequent"
12479,2435,1,527.2,5,1,3,"513","Recent but Infrequent"
12480,5691,4,3281.63,4,4,5,"445","Best Customers"
12481,4694,10,5596.32,4,5,5,"455","Best Customers"
12483,3498,8,2484.98,4,5,5,"455","Best Customers"
12484,6749,6,4541.72,4,5,5,"455","Best Customers"
12488,2058,3,1298.66,5,3,4,"534","Loyal Customers"
12489,41124,1,334.93,1,1,2,"112","Others"
12490,1051,10,5417.93,5,5,5,"555","Best Customers"
12491,7719,1,460.4,3,1,2,"312","Others"
12492,11398,2,263.21,3,2,2,"322","Others"
12493,23463,2,433.74,2,2,2,"222","Others"
12494,3239,7,1246.1,4,5,4,"454","Best Customers"
12497,14289,1,1043.1,2,1,4,"214","Others"
12498,4286,3,403.7,4,3,2,"432","Others"
12500,4718,11,4257.82,4,5,5,"455","Best Customers"
12501,41129,1,2169.39,1,1,5,"115","Others"
12502,16068,5,3723.87,2,4,5,"245","At Risk"
12504,3811,2,482.05,4,2,2,"422","Recent but Infrequent"
12506,30766,1,73.5,1,1,1,"111","Lost Customers"
12507,19918,3,1304.81,2,3,4,"234","Others"
12508,5523,2,398.27,4,2,2,"422","Recent but Infrequent"
12509,36406,1,176.5,1,1,1,"111","Lost Customers"
12510,20980,2,982.57,2,2,4,"224","Others"
12512,12058,2,138.03,3,2,1,"321","Others"
12513,17834,1,612.29,2,1,3,"213","Others"
12514,34712,1,1017.68,1,1,4,"114","Others"
12515,41835,1,383.7,1,1,2,"112","Others"
12516,13628,2,1312.06,2,2,4,"224","Others"
12517,5699,5,2502.84,4,4,5,"445","Best Customers"
12518,93,5,2056.89,5,4,5,"545","Best Customers"
12519,11580,1,340.84,3,1,2,"312","Others"
12520,13921,5,2634.26,2,4,5,"245","At Risk"
12521,20952,1,599.68,2,1,3,"213","Others"
12522,7958,2,192.72,3,2,1,"321","Others"
12523,4075,11,1789.77,4,5,4,"454","Best Customers"
12524,1801,8,4485.72,5,5,5,"555","Best Customers"
12526,13,3,1316.66,5,3,4,"534","Loyal Customers"
12527,14296,3,348.71,2,3,2,"232","Others"
12528,1840,6,1933.48,5,5,4,"554","Best Customers"
12530,10950,4,1662.28,3,4,4,"344","Loyal Customers"
12531,2882,1,125.22,5,1,1,"511","Recent but Infrequent"
12532,6261,1,349.83,4,1,2,"412","Recent but Infrequent"
12534,19676,1,1089.18,2,1,4,"214","Others"
12535,15513,2,716.35,2,2,3,"223","Others"
12536,8507,3,12601.83,3,3,5,"335","Loyal Customers"
12538,5880,1,363.95,4,1,2,"412","Recent but Infrequent"
12539,4548,4,5568.35,4,4,5,"445","Best Customers"
12540,4111,17,13400.24,4,5,5,"455","Best Customers"
12541,6073,3,981.18,4,3,4,"434","Loyal Customers"
12544,7286,1,372.7,3,1,2,"312","Others"
12545,13408,2,1000.39,2,2,4,"224","Others"
12546,9145,2,1161.5,3,2,4,"324","Others"
12547,26795,2,207.8,1,2,1,"121","Others"
12548,23479,1,95.2,2,1,1,"211","Others"
12550,13934,1,964.83,2,1,4,"214","Others"
12551,42236,1,168,1,1,1,"111","Lost Customers"
12552,7819,2,437.82,3,2,2,"322","Others"
12553,1467,10,3692.28,5,5,5,"555","Best Customers"
12556,9522,2,603.71,3,2,3,"323","Others"
12557,3266,5,11990.96,4,4,5,"445","Best Customers"
12558,1429,1,269.96,5,1,2,"512","Recent but Infrequent"
12559,38661,2,561.71,1,2,3,"123","Others"
12560,1076,3,2134.01,5,3,5,"535","Loyal Customers"
12561,38000,1,238.85,1,1,1,"111","Lost Customers"
12562,1461,7,3781.74,5,5,5,"555","Best Customers"
12564,34067,1,456.9,1,1,2,"112","Others"
12565,36749,1,145.92,1,1,1,"111","Lost Customers"
12566,14848,1,351.65,2,1,2,"212","Others"
12567,4660,10,9401.28,4,5,5,"455","Best Customers"
12569,1039,30,3866.41,5,5,5,"555","Best Customers"
12571,8159,2,519.61,3,2,3,"323","Others"
12572,1660,2,1020.42,5,2,4,"524","Recent but Infrequent"
12573,30424,1,160.54,1,1,1,"111","Lost Customers"
12574,39162,1,218.45,1,1,1,"111","Lost Customers"
12576,7244,5,1315.83,3,4,4,"344","Loyal Customers"
12577,7081,3,657.8,3,3,3,"333","Loyal Customers"
12578,4271,2,2794.51,4,2,5,"425","Recent but Infrequent"
12579,13672,1,440.42,2,1,2,"212","Others"
12580,32394,1,415.7,1,1,2,"112","Others"
12581,8170,1,197.71,3,1,1,"311","Others"
12582,31395,2,511.36,1,2,3,"123","Others"
12583,586,15,7281.38,5,5,5,"555","Best Customers"
12584,841,9,2338.15,5,5,5,"555","Best Customers"
12585,30967,2,2040.1,1,2,4,"124","Others"
12586,3509,1,196.94,4,1,1,"411","Recent but Infrequent"
